tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,
-4.12877,15.3734,-28.2323,10.3692,-56.369,28.8034,-7.35594,7.03294,-0.259359,0.225096,-3.85837,16.1661,-32.0879,5.90965,-62.3687,31.5018,0.403419,1.71624,0.118683,0.276924,-0.0833521,-0.00858307,-0.685321,0.612078,-1.65923,1.76833,-0.718127,0.673495,3.14736,-0.181392,-0.164026,0.146563,-0.968285,0.630628,-2.27354,2.13578,-0.975939,0.889123,0,0,-1.04396,-0.470085,0.921856,-2.89988,0.360195,1.42247,-1.0696,0.405373,1.50549,-0.164837,
10.8254,7.95089,-30.4309,14.0379,-73.3852,10.3479,-5.30821,1.35039,-0.303595,0.0291908,-5.71428,18.8034,-31.4041,8.05861,-56.6056,25.9341,-1.86667,4.34188,0.0395622,0.118683,-0.102427,-0.028038,-0.657092,0.586518,-1.65541,1.79809,-0.751316,0.689517,3.1672,-0.180247,-0.001884,0.0336466,-0.953903,0.708918,-2.46572,1.98368,-1.01965,0.784415,0,0,-0.592186,-0.799755,1.23932,-1.00733,0.152626,2.11844,-2.41758,1.14774,1.3956,0.12088,
10.3328,-0.166976,-18.3872,14.1729,-61.5217,5.87315,5.79957,-0.528749,-0.17128,0.214656,-3.27228,10.3053,-28.083,12.0635,-68.6203,13.0403,-2.60513,3.75385,0.0395622,0.0659332,-0.0936518,-0.0295639,-0.647936,0.565919,-1.65656,1.83623,-0.821889,0.708972,3.19238,-0.180629,0.0461876,-0.0279597,-0.845115,0.682085,-2.34278,1.9428,-0.823671,0.716995,0,0,0.750916,0.103785,0.213675,-1.23932,-0.0793648,1.23932,-3.25763,0.454212,0.978024,-0.0769234,
-5.01502,3.44694,-25.8691,-13.2245,-46.2309,12.7099,11.6415,-0.0634692,-0.273881,0.263451,1.51404,3.85837,-21.3431,7.76556,-59.0476,7.76556,-1.14188,1.45641,-0.0131874,0.0395622,-0.0478754,-0.0360498,-0.644121,0.573548,-1.67411,1.85035,-0.855459,0.705539,3.21336,-0.180629,-0.0297272,-0.0130131,-0.9167,0.454895,-2.22014,2.00642,-0.547469,0.689368,0,0,2.21612,-0.457876,0.445665,0.848597,-0.970695,0.445665,-0.307692,-0.288157,0.714287,0.0549469,
-7.51288,8.01336,-19.533,-14.9739,-38.487,12.291,5.354,-1.64857,-0.276398,0.357341,1.61172,1.90475,-24.1758,-7.76556,-46.5446,10.989,3.8359,0.909401,0.0659332,0.197803,-0.0207901,-0.0421534,-0.635347,0.601778,-1.69852,1.8595,-0.824941,0.696383,3.22557,-0.180629,-0.087376,0.0450525,-0.846887,0.462874,-2.15566,2.01215,-0.579759,0.622995,0,0,0.506716,-0.054945,0.164835,0.824175,-0.885225,0.482296,1.92918,-0.551893,0.42857,-0.0109901,
1.1328,9.40552,-1.07374,4.32036,-30.3148,7.32101,2.84498,-2.69202,-0.136875,0.424536,3.07692,5.32356,-17.9243,-5.90965,-41.0745,6.88644,3.91795,-0.0341873,-0.0395622,0.224174,-0.0406275,-0.0371943,-0.642977,0.581941,-1.70386,1.87896,-0.786412,0.686465,3.229,-0.180629,-0.0774913,0.07362,-0.675461,0.582529,-2.04781,2.00812,-0.570877,0.576766,0,0,-1.48352,0.189255,-0.616606,-1.42247,-0.213675,1.43468,2.73016,-0.698412,0.164837,0.0329666,
11.4647,3.93974,-3.94014,16.5226,-41.3826,4.01648,1.60358,1.69944,0.0453367,0.505734,4.24908,8.93773,-5.90965,3.17461,-32.0879,2.97925,5.62735,-0.813675,-0.0659332,0.356045,-0.0883112,-0.0383387,-0.652514,0.538835,-1.70386,1.92206,-0.746738,0.662814,3.22976,-0.180629,-0.0197376,0.00441868,-0.69731,0.670526,-2.16265,2.02957,-0.660925,0.654099,0,0,-1.76435,-0.0305252,-0.0305252,-1.55678,0.0305252,1.88645,0.825397,-1.11844,-0.0109901,-0.0109901,
2.12662,5.02494,-18.6381,9.80247,-45.7371,7.9383,-1.70695,2.56167,0.00599837,0.413908,3.17461,7.47253,-8.25397,7.96092,-34.4322,3.56532,4.32821,0.0888882,-0.0395622,0.382416,-0.0989933,-0.0356684,-0.632677,0.533113,-1.71759,1.95296,-0.745213,0.638781,3.22976,-0.180247,-0.0780097,0.0256588,-0.798049,0.641825,-2.25855,2.08044,-0.79336,0.65597,0,0,-0.0793648,0.164835,1.25153,-0.00610542,-0.982906,1.17827,-0.0146523,-1.07936,-0.0109901,0.0549469,
-4.99559,4.64119,-17.6867,-4.49253,-25.3835,4.3123,6.58425,-0.53965,-0.0799755,0.444277,-0.146515,4.6398,-18.9011,9.23077,-40.6838,9.13309,1.41538,0.512821,-0.0131874,0.435165,-0.0715265,-0.0383387,-0.596819,0.541123,-1.74315,1.96174,-0.750935,0.634966,3.22976,-0.180247,-0.0812455,0.0105846,-0.741852,0.496701,-2.07627,2.01962,-0.590261,0.618755,0,0,1.37363,-0.0793648,1.54457,0.164835,-1.53236,0.299145,-0.444445,-0.0244198,-0.0109901,-0.0329666,
-4.6698,9.35758,-17.7865,-8.07454,-28.4298,7.09062,13.6488,-5.59492,-0.186561,0.441945,0.634918,5.71428,-17.1429,3.95604,-34.3345,7.47253,2.98803,0.0615387,-0.0659332,0.408791,-0.0684748,-0.0387201,-0.587281,0.548753,-1.76642,1.96288,-0.770008,0.638018,3.22976,-0.180629,-0.128298,0.0634215,-0.779414,0.475926,-2.10408,2.04065,-0.429702,0.489685,0,0,-0.238094,-0.054945,0.164835,0.506716,-0.653236,-0.0305252,-0.776556,0.141636,0.0109901,-0.0549469,
-0.456614,12.7393,-11.059,-5.47071,-33.4416,3.55245,8.49265,-6.27364,-0.227724,0.433246,1.22101,7.37485,-14.0171,-3.56532,-29.5482,4.44444,6.91282,-2.86496,-0.145054,0.382416,-0.0871668,-0.0444422,-0.594912,0.542649,-1.76757,1.96784,-0.755131,0.638781,3.22976,-0.180247,-0.125411,0.0826574,-0.733866,0.464566,-2.14016,2.02258,-0.459395,0.457431,0,0,-0.995115,-0.433455,-0.482296,-0.518925,-0.0305252,0.457876,1.19658,-0.141636,-0.0109901,-0.0109901,
5.45799,9.46175,-8.65857,3.29921,-39.2274,5.68451,2.93476,0.807915,-0.249948,0.460221,0.146515,11.0867,-11.5751,-2.39316,-33.0647,2.49084,8.49915,-4.04103,-0.197803,0.382416,-0.106623,-0.0501642,-0.61017,0.523193,-1.76642,1.98196,-0.723469,0.621233,3.22976,-0.180247,-0.077928,0.0466228,-0.732221,0.525053,-2.19923,2.06933,-0.575281,0.595568,0,0,-0.958487,-0.250305,-0.775335,-1.04396,0.0915756,0.726496,1.33333,-0.962149,-0.0329666,0.0109901,
3.32495,6.9875,-13.8287,8.67723,-42.2061,9.03205,-0.594324,3.19289,-0.283784,0.46157,0.830276,10.4029,-12.2589,1.41637,-37.0696,3.17461,6.36581,-2.00342,-0.250549,0.408791,-0.114634,-0.0509272,-0.609026,0.499161,-1.76833,1.99798,-0.718127,0.607882,3.22976,-0.180247,-0.0799282,0.0261013,-0.751485,0.562404,-2.24604,2.12499,-0.735857,0.685096,0,0,-0.0671558,-0.0183144,0.335775,-0.995115,-0.262516,0.799755,-0.0244198,-0.229548,-0.0329666,-0.0109901,
0.220844,7.02535,-14.9702,8.98363,-38.5184,9.01495,-0.765667,2.63906,-0.267774,0.38478,0.634918,8.74237,-16.2637,5.32356,-39.3162,6.88644,3.64444,-0.047863,-0.303295,0.435165,-0.102427,-0.0551233,-0.593003,0.489624,-1.77977,2.01095,-0.727665,0.613222,3.22976,-0.180247,-0.0773842,0.0162206,-0.727797,0.577436,-2.23034,2.13248,-0.784831,0.704356,0,0,0.677656,-0.201466,0.946276,-0.360195,-0.677656,0.641026,-0.717949,0.356533,-0.0109901,0.0109901,
1.90825,6.18607,-11.2126,6.91529,-31.7955,6.99702,11.8191,-2.1405,-0.313176,0.356032,0.830276,6.5934,-16.3614,7.37485,-39.0232,10.1099,1.79829,0.786325,-0.303295,0.408791,-0.0947971,-0.0566492,-0.575456,0.485809,-1.78931,2.01629,-0.753605,0.628099,3.22976,-0.180247,-0.0632159,0.0114744,-0.672161,0.555523,-2.15989,2.0979,-0.500755,0.613818,0,0,0.311356,-0.0183144,0.836386,-0.213675,-0.518925,0.115995,-1.50916,0.903542,0.0329666,-0.0109901,
