row_index,relative_bag_time_s,model,baseline.right_hip_target_rad,baseline.left_hip_target_rad,freeze_current_hip.right_hip_target_rad,freeze_current_hip.left_hip_target_rad,freeze_all_history_hip.right_hip_target_rad,freeze_all_history_hip.left_hip_target_rad,zero_velocity_code.right_hip_target_rad,zero_velocity_code.left_hip_target_rad,full_model_current_q.dtarget0_dinput0,full_model_current_q.dtarget0_dinput1,full_model_current_q.dtarget1_dinput0,full_model_current_q.dtarget1_dinput1,full_model_current_dq.dtarget0_dinput0,full_model_current_dq.dtarget0_dinput1,full_model_current_dq.dtarget1_dinput0,full_model_current_dq.dtarget1_dinput1,actor_direct_q.dtarget0_dinput0,actor_direct_q.dtarget0_dinput1,actor_direct_q.dtarget1_dinput0,actor_direct_q.dtarget1_dinput1,actor_direct_dq.dtarget0_dinput0,actor_direct_dq.dtarget0_dinput1,actor_direct_dq.dtarget1_dinput0,actor_direct_dq.dtarget1_dinput1,recorded.right_hip_target_rad,recorded.left_hip_target_rad
3213,0.2600210300000043,old,-0.5229328870773315,0.5236502289772034,0.25555027,-0.23178518,0.25889647,-0.2347794,-0.55351347,0.5621067,-4.7586856,5.5857,4.6005545,-6.035894,-0.06250441,0.067442656,0.060540438,-0.06881654,-4.67515,5.4064093,4.919529,-5.424231,-0.062423944,0.06681979,0.0610739,-0.067064166,-0.5229329466819763,0.5236502885818481
3214,0.28002003000000286,old,-0.5232477188110352,0.48709356784820557,-0.052482918,0.114264905,-0.052277625,0.11477805,-0.57705206,0.5539634,0.8579194,-1.6624032,-2.8859375,1.5836059,-0.052011013,0.058543682,0.051666796,-0.07017106,0.855714,-1.1242926,-2.05186,1.919329,-0.052440166,0.059252977,0.052012503,-0.06969869,-0.5232478976249695,0.4870936870574951
3215,0.29999090100000103,old,0.9968379139900208,-0.9235548377037048,-0.1256838,0.1608253,-0.11650215,0.1649431,0.980946,-0.9294731,-2.0605624,2.390027,1.8874406,-2.5752184,-0.044745207,0.04428625,0.041756034,-0.04954636,-2.0448565,2.4713278,2.334714,-2.139151,-0.044453144,0.044566393,0.044104457,-0.04788637,0.9968380331993103,-0.9235549569129944
3216,0.3200601470000066,old,0.7694901823997498,-0.8116780519485474,0.0058314,-0.030191729,-0.03761878,0.0046878336,0.790039,-0.8134576,-1.5238224,1.0480881,1.8630325,-0.89195365,-0.04826486,0.03489256,0.044092536,-0.032749772,-1.1403561,1.4612674,1.634091,-1.1186004,-0.043076277,0.03734827,0.040990114,-0.034207106,0.769490122795105,-0.8116779327392578
3217,0.34003780199999767,old,-2.036475896835327,2.06663179397583,-0.15001291,0.11767869,-0.12240791,0.094691016,-1.9431624,1.9600066,-0.64301485,1.3303756,0.27489662,-1.990199,-0.06672144,0.07867813,0.074374676,-0.094640255,-0.89943403,1.3711451,1.0646582,-1.5921592,-0.06771088,0.07816553,0.07610321,-0.09293556,-2.0364761352539062,2.06663179397583
3218,0.36002141000000165,old,0.053761258721351624,-0.17245806753635406,0.68101436,-0.67994744,0.7000294,-0.6853415,-0.046289377,0.00267368,-2.0174272,1.5564411,0.8646622,-1.6071274,-0.05156137,0.049789622,0.04260242,-0.04907623,-1.9796526,1.6381367,1.1679306,-1.3807788,-0.05245991,0.049667433,0.04268959,-0.049720705,0.0537613108754158,-0.17245826125144958
3219,0.3800618860000071,old,1.8596704006195068,-1.7085479497909546,0.1893618,-0.14117137,0.17837195,-0.14394121,1.7609318,-1.7138227,-2.8419492,3.414571,2.472639,-3.4326313,-0.03657341,0.03373623,0.027352571,-0.040870905,-2.9104946,3.4542081,3.1561253,-2.9624102,-0.03683567,0.034081936,0.03580451,-0.037300587,1.8596700429916382,-1.7085477113723755
3220,0.4000317650000085,old,-2.160011053085327,1.9862862825393677,-0.66985184,0.4760315,-0.64710784,0.45953315,-1.9273776,1.6937721,-3.4890172,3.570318,4.1525364,-4.01479,-0.058817863,0.05390644,0.059956312,-0.057774782,-3.0448434,3.8449762,3.7972329,-4.2116046,-0.05480051,0.054991245,0.057327747,-0.05810857,-2.160010576248169,1.9862860441207886
3221,0.4200608800000083,old,-2.5542705059051514,2.409405469894409,0.39556745,-0.24142908,0.41731155,-0.29074013,-2.8160143,2.6253288,-1.2043715,0.9577274,0.32734868,-1.7170905,-0.074350834,0.0762701,0.07739067,-0.08631945,-1.2536049,1.0426044,0.924468,-1.3061761,-0.07557869,0.07640123,0.07703304,-0.086569786,-2.5542707443237305,2.409405469894409
3222,0.44004672799999867,old,1.8843482732772827,-2.108520030975342,0.34405765,-0.48744646,0.35526496,-0.4576517,1.5546557,-1.6839947,-3.147125,3.5091636,1.9978284,-3.0637977,-0.060772896,0.058311224,0.060725212,-0.06635189,-3.3352969,3.5114286,2.531409,-2.7804372,-0.061655045,0.058197975,0.061511993,-0.066661835,1.8843481540679932,-2.1085197925567627
3223,0.46003427099999783,old,1.1956584453582764,-1.3978363275527954,-0.9453996,0.98934954,-0.75914395,0.6403757,1.0284071,-1.309926,-3.3425686,2.5551913,3.5942194,-2.1631122,-0.0472188,0.033140182,0.04374981,-0.032651424,-2.8750894,3.0008552,3.1273363,-2.530038,-0.04094243,0.03646612,0.03824234,-0.035226345,1.1956583261489868,-1.3978362083435059
3224,0.48006505099999686,old,-3.372565984725952,3.678147077560425,-0.3267291,0.28778842,-0.37661514,0.30811533,-3.2582705,3.5361397,0.37145612,0.7411241,-0.8063316,-0.9026527,-0.054097176,0.06752014,0.05298853,-0.07530451,-0.3105402,0.5940199,0.16522406,-0.5774498,-0.059735775,0.06620884,0.060129166,-0.073480606,-3.3725662231445312,3.678147315979004
3225,0.5000307050000004,old,0.19539611041545868,-0.29718446731567383,1.1206169,-1.2114755,1.1507014,-1.3953358,-0.65029377,0.46123934,-1.5265121,1.157917,0.5685538,-1.0046363,-0.04126653,0.03694594,0.04594922,-0.049600005,-1.4495476,1.2226552,0.7498264,-0.8604079,-0.0425227,0.037124753,0.047180057,-0.050485134,0.19539611041545868,-0.2971842586994171
3226,0.5200696769999951,old,0.9664124846458435,-0.9912894368171692,0.10933188,0.04909145,-0.0781424,0.010275891,0.6668636,-0.86961985,-2.9985902,2.6522276,3.1697152,-3.4046767,-0.038671494,0.029084086,0.037288666,-0.04196763,-2.8577743,2.839863,3.5711524,-3.1185744,-0.034847856,0.03141761,0.040489435,-0.04155636,0.9664124250411987,-0.9912896752357483
3227,0.5400708859999952,old,-1.280519962310791,1.6669819355010986,-0.009545058,0.31733578,-0.047664262,0.29782796,-1.3433475,1.3187871,-4.7151446,4.4030547,6.087422,-6.143927,-0.06707311,0.053673983,0.05799532,-0.059235096,-4.163027,4.6747327,5.9208865,-6.119072,-0.058984756,0.056689978,0.057291985,-0.058811903,-1.2805202007293701,1.6669824123382568
3228,0.5600694390000029,old,-2.0225915908813477,2.3205349445343018,-0.0069272546,0.13190575,-0.013270018,0.06494883,-2.1945765,2.3504224,-0.70095056,-0.18417834,-0.95236295,-0.21922587,-0.069749355,0.073325634,0.071811676,-0.08689165,-0.7152557,0.20325182,-0.11122226,0.06520748,-0.07419586,0.07110834,0.07523298,-0.085270405,-2.022592067718506,2.320535659790039
3200,0.0,new,0.04918696731328964,-0.0736444890499115,0.049186967,-0.07364449,0.049186967,-0.07364449,0.0535442,-0.07652331,-2.2880583,2.2916756,1.9370875,-1.7496831,-0.00596419,0.0039979815,0.0022690743,-0.0020325184,-2.0766816,2.390653,1.9719675,-1.6513466,-0.0057008117,0.004440546,0.002509728,-0.0020030886,0.11503993719816208,-0.09573007375001907
3201,0.019988376000000585,new,0.10034988820552826,-0.116634801030159,0.100311294,-0.116623744,0.10031869,-0.11662404,0.09843743,-0.11650786,-2.751082,2.596911,2.2918208,-2.029568,-0.0054430217,0.0025562942,0.0014849007,-0.00087469816,-2.4682357,2.778407,2.301246,-1.98365,-0.004855916,0.003164634,0.0015929341,-0.00090673566,0.20515753328800201,-0.18366143107414246
3202,0.039999250000008146,new,0.0814858227968216,-0.10116485506296158,0.13336317,-0.1412758,0.1352384,-0.14135389,0.07351756,-0.098302625,-2.1196527,2.3483446,1.5109814,-1.7368569,-0.0073540956,0.0076238066,0.0032685697,-0.0059690326,-1.9854679,2.383299,1.7103925,-1.5335269,-0.0071927905,0.0078342855,0.0039704144,-0.005581975,0.186771959066391,-0.1816139817237854
3203,0.06004215900000531,new,0.02657829038798809,-0.05432705581188202,0.1350399,-0.139556,0.13939308,-0.1395599,0.018962534,-0.048110828,-1.3953074,1.3387705,1.1354908,-1.2703984,-0.011144765,0.010280497,0.006539002,-0.009320304,-1.1974275,1.4343746,1.304306,-1.0833404,-0.010798126,0.010653585,0.0071160495,-0.008993596,0.044458597898483276,-0.053189024329185486
3204,0.08006023299999754,new,-0.0065978532657027245,-0.012304043397307396,0.093664594,-0.098661266,0.09872177,-0.09815275,-0.010796329,-0.009699862,-1.1689756,0.9399319,0.91838926,-1.0178107,-0.0011279248,-0.0008619856,-0.0040889718,0.0016370788,-0.9167685,1.1111748,1.0955389,-0.85064113,-0.00057255384,-0.00037879217,-0.003600493,0.0019845553,-0.006389151327311993,0.0012580882757902145
3205,0.09998562799999888,new,0.01783783733844757,-0.029360955581068993,0.069661535,-0.07599774,0.07144968,-0.07551772,0.015812557,-0.031831168,-1.9874879,1.9992496,1.6607753,-1.6338973,-0.0009215437,3.9022416e-05,-0.002658926,0.0010348856,-1.8074809,2.1094818,1.7909817,-1.5136971,-0.0004879199,0.00030593947,-0.0022381544,0.001222454,0.05447594076395035,-0.038630492985248566
