run,case,window,joint,first_order_sum,second_order_sum,first_order_share_percent,second_order_share_percent,combined_share_percent,combined_reward_magnitude
2026-09-21_20-20-10,right-delay30-noise,stop_onset_70_72s,right_hip_joint,1.454831904369497,3.4283111492246388,0.7491518135648535,2.632825077809048,1.1276289184588415,0.010961794341314945
2026-09-21_20-20-10,right-delay30-noise,stop_onset_70_72s,left_hip_joint,1.417790372370698,3.4923542627835307,0.7300776299490169,2.682007986856542,1.1222692931531286,0.010909692883658088
2026-09-21_20-20-10,right-delay30-noise,stop_onset_70_72s,right_thigh_joint,1.8477866015723023,4.847877845806736,0.9515000870486486,3.7230034880239953,1.5083644877470745,0.014662963174999315
2026-09-21_20-20-10,right-delay30-noise,stop_onset_70_72s,left_thigh_joint,2.4610601153246328,6.136307419333796,1.2672994338040806,4.712473096971262,1.9595210513443793,0.019048701590299224
2026-09-21_20-20-10,right-delay30-noise,stop_onset_70_72s,right_shank_joint,1.2359082277257092,3.0192038138029473,0.6364191542814035,2.318644711637363,0.9744203728644056,0.00947243863160726
2026-09-21_20-20-10,right-delay30-noise,stop_onset_70_72s,left_shank_joint,1.4131387865243856,3.5289391708271545,0.7276823401823771,2.7101039382372605,1.1260004568925894,0.010945963902338277
2026-09-21_20-20-10,right-delay30-noise,stop_onset_70_72s,right_foot_joint,0.32022728380306287,0.5964409579307319,0.16489798559784832,0.4580461466654314,0.22379878830705535,0.0021755705721083493
2026-09-21_20-20-10,right-delay30-noise,stop_onset_70_72s,left_foot_joint,0.24932955699836098,0.415073143607441,0.1283898773732171,0.31876190171999497,0.16664038185042865,0.0016199279434046055
2026-09-21_20-20-10,right-delay30-noise,stop_onset_70_72s,right_wheel_joint,100.36078855161716,43.066056591499574,51.67983086460224,33.0732506068148,47.941303190180626,0.46604223909371806
2026-09-21_20-20-10,right-delay30-noise,stop_onset_70_72s,left_wheel_joint,83.43634643219626,61.68359905924393,42.96475081359631,47.370883045264314,43.850053059201485,0.426270784317651
2026-09-21_20-20-10,right-delay30-noise,stopped_72_90s,right_hip_joint,16.112706427414313,37.36180651230893,1.4696464479209368,3.798430068599043,2.0558941095943295,0.12049353547812064
2026-09-21_20-20-10,right-delay30-noise,stopped_72_90s,left_hip_joint,14.79088417310695,31.4313155992846,1.349082507308174,3.1955000416967416,1.8138993981504643,0.10631051009135468
